Part Number Query,Qty,Manufacturer,MPN,Octopart URL
CL21C101JBANNNC,1,Samsung Electro-Mechanics,CL21C101JBANNNC,https://octopart.com/cl21c101jbannnc-samsung+electro-mechanics-9299371
C5750X7R2A475K230KA,2,TDK,C5750X7R2A475K230KA,https://octopart.com/c5750x7r2a475k230ka-tdk-25947958
08051A100KAT2A,1,AVX,08051A100KAT2A,https://octopart.com/08051a100kat2a-avx-195766
CL31B105KCHNNNE,2,Samsung Electro-Mechanics,CL31B105KCHNNNE,https://octopart.com/cl31b105kchnnne-samsung+electro-mechanics-19832864
CL31B225KCHSNNE,2,Samsung Electro-Mechanics,CL31B225KCHSNNE,https://octopart.com/cl31b225kchsnne-samsung+electro-mechanics-24958436
CL21B104KCFSFNE,1,Samsung Electro-Mechanics,CL21B104KCFSFNE,https://octopart.com/cl21b104kcfsfne-samsung+electro-mechanics-19832274
MBR1645-E3/45,1,General Semiconductor,MBR1645-E3/45,https://octopart.com/mbr1645-e3%2F45-general+semiconductor-9244965
SK44BL-TP,1,MCC,SK44BL-TP,https://octopart.com/sk44bl-tp-mcc-20019627
BZX84C24S-7-F,1,Diodes Inc.,BZX84C24S-7-F,https://octopart.com/bzx84c24s-7-f-diodes+inc.-327789
7447709220,1,Würth Elektronik,7447709220,https://octopart.com/7447709220-w%C3%BCrth+elektronik-21041533
FQPF20N06L,1,Fairchild Semiconductor,FQPF20N06L,https://octopart.com/fqpf20n06l-fairchild+semiconductor-13411077
2N7002DW-7-F,1,Diodes Inc.,2N7002DW-7-F,https://octopart.com/2n7002dw-7-f-diodes+inc.-335077
RL2512FK-070R12L,1,Yageo / Phycomp,RL2512FK-070R12L,https://octopart.com/rl2512fk-070r12l-yageo+%2F+phycomp-13152575
MCR100JZHFLR100,1,Rohm,MCR100JZHFLR100,https://octopart.com/mcr100jzhflr100-rohm-15447083
RMCF0805JT24K0,1,Stackpole Electronics,RMCF0805JT24K0,https://octopart.com/rmcf0805jt24k0-stackpole+electronics-19214532
RMCF0805JT2R20,1,Stackpole Electronics,RMCF0805JT2R20,https://octopart.com/rmcf0805jt2r20-stackpole+electronics-19214543
RMCF0805JT2K20,1,Stackpole Electronics,RMCF0805JT2K20,https://octopart.com/rmcf0805jt2k20-stackpole+electronics-19214537
RMCF0805JT1K00,1,Stackpole Electronics,RMCF0805JT1K00,https://octopart.com/rmcf0805jt1k00-stackpole+electronics-19214505
RMCF0805JT10K0,1,Stackpole Electronics,RMCF0805JT10K0,https://octopart.com/rmcf0805jt10k0-stackpole+electronics-19214477
RC0805JR-071K3L,1,Yageo / Phycomp,RC0805JR-071K3L,https://octopart.com/rc0805jr-071k3l-yageo+%2F+phycomp-1220281
RMCF0805JT47K0,1,Stackpole Electronics,RMCF0805JT47K0,https://octopart.com/rmcf0805jt47k0-stackpole+electronics-19214576
RC0805JR-0775KL,1,Yageo,RC0805JR-0775KL,https://octopart.com/rc0805jr-0775kl-yageo-1377323
ZXLD1370EST16TC,1,Diodes Inc.,ZXLD1370EST16TC,https://octopart.com/zxld1370est16tc-diodes+inc.-18614425
